"205377_s_at"	"207613_s_at"	0.578
"205377_s_at"	"213108_at"	0.578
"205378_s_at"	"207613_s_at"	0.578
"205378_s_at"	"213108_at"	0.578
"210332_at"	"207613_s_at"	0.578
"210332_at"	"213108_at"	0.578
"205377_s_at"	"220138_at"	0.557
"205378_s_at"	"220138_at"	0.557
"210332_at"	"220138_at"	0.557
"203872_at"	"200974_at"	0.681
"203872_at"	"215787_at"	0.681
"203872_at"	"200601_at"	0.619
"203872_at"	"207163_s_at"	0.624
"203872_at"	"202329_at"	0.589
"203872_at"	"208674_x_at"	0.514
"203872_at"	"208675_s_at"	0.514
"203872_at"	"200094_s_at"	0.622
"203872_at"	"204102_s_at"	0.622
"203872_at"	"201122_x_at"	0.568
"203872_at"	"201123_s_at"	0.568
"203872_at"	"213753_x_at"	0.568
"203872_at"	"201841_s_at"	0.58
"203872_at"	"210150_s_at"	0.372
"203872_at"	"201507_at"	0.36
"203872_at"	"200737_at"	0.691
"203872_at"	"200738_s_at"	0.691
"203872_at"	"217356_s_at"	0.691
"203872_at"	"217383_at"	0.691
"203872_at"	"211570_s_at"	0.316
"203872_at"	"201033_x_at"	0.645
"203872_at"	"208856_x_at"	0.645
"203872_at"	"211720_x_at"	0.645
"203872_at"	"211972_x_at"	0.645
"203872_at"	"214167_s_at"	0.645
"203872_at"	"200908_s_at"	0.684
"203872_at"	"217670_at"	0.684
"203872_at"	"214317_x_at"	0.633
"203872_at"	"217747_s_at"	0.633
"203872_at"	"216438_s_at"	0.65
"203872_at"	"205177_at"	1
"203872_at"	"206393_at"	0.602
"203872_at"	"204083_s_at"	0.574
"203872_at"	"212654_at"	0.574
"203872_at"	"206769_at"	0.596
"203872_at"	"205541_s_at"	0.586
"203872_at"	"221021_s_at"	0.656
"203872_at"	"209026_x_at"	0.766
"203872_at"	"211714_x_at"	0.766
"203872_at"	"212320_at"	0.766
"203872_at"	"214023_x_at"	0.813
"200974_at"	"200601_at"	0.681
"215787_at"	"200601_at"	0.681
"200974_at"	"208960_s_at"	0.681
"200974_at"	"208961_s_at"	0.681
"200974_at"	"211610_at"	0.681
"215787_at"	"208960_s_at"	0.681
"215787_at"	"208961_s_at"	0.681
"215787_at"	"211610_at"	0.681
"200974_at"	"200094_s_at"	1
"200974_at"	"204102_s_at"	1
"215787_at"	"200094_s_at"	1
