"node","cluster"
"203872_at",1
"211560_s_at",1
"204174_at",1
"209462_at",1
"214498_at",1
"205627_at",1
"206450_at",1
"203564_at",1
"212983_at",1
"200600_at",1
"203814_s_at",1
"207694_at",1
"206118_at",1
"206213_at",1
"208474_at",1
"204144_s_at",1
"203043_at",1
"205096_at",1
"218034_at",1
"207772_s_at",1
"206793_at",1
"217752_s_at",1
"206737_at",1
"200601_at",2
"216438_s_at",2
"203683_s_at",2
"213245_at",3
"215340_at",3
"215348_at",3
"207163_s_at",3
"212788_x_at",3
"213187_x_at",3
"207179_at",3
"201841_s_at",3
"202336_s_at",3
"212958_x_at",3
"214620_x_at",3
"212627_s_at",3
"213648_at",3
"218481_at",3
"211154_at",3
"211155_s_at",3
"211831_s_at",3
"216267_s_at",3
"203175_at",4
"212651_at",4
"208009_s_at",4
"221789_x_at",4
"222131_x_at",4
"65770_at",4
"207136_at",5
"210234_at",5
"204563_at",5
"209999_x_at",5
"210000_s_at",5
"210001_s_at",5
"213337_s_at",5
"204280_at",5
"211021_s_at",5
"38290_at",5
"1861_at",6
"209364_at",6
"200796_s_at",6
"200797_s_at",6
"200798_x_at",6
"214056_at",6
"214057_at",6
"207613_s_at",7
"213108_at",7
"220138_at",7
"204855_at",7
"202005_at",7
"216905_s_at",7
"216906_at",7
"219257_s_at",7
"218223_s_at",7
"203416_at",8
"201763_s_at",8
"216038_x_at",8
"219519_s_at",8
"44673_at",8
"208130_s_at",8
"206200_s_at",9
"214783_s_at",9
"207809_s_at",9
"200677_at",9
"200663_at",9
"209235_at",9
"221961_at",9
"38069_at",9
"201749_at",9
"201750_s_at",9
"217478_s_at",9
"210845_s_at",9
"211924_s_at",9
"214866_at",9
"200924_s_at",9
"202546_at",9
"209800_at",9
"204400_at",9
"210880_s_at",9
"203833_s_at",9
"203834_s_at",9
"212040_at",9
"212043_at",9
"202676_x_at",9
"210975_x_at",9
"214114_x_at",9
"218376_s_at",9
"219053_s_at",9
"204150_at",9
"38487_at",9
"205477_s_at",10
"214425_at",10
"204581_at",10
"217422_s_at",10
"220674_at",10
"38521_at",10
"215925_s_at",10
"205049_s_at",10
"206181_at",10
"204352_at",10
"206219_s_at",10
"206056_x_at",10
"206057_x_at",10
"216980_s_at",10
"216981_x_at",10
"207641_at",10
