"node","cluster"
"205688_at",1
"218952_at",1
"208723_at",1
"204638_at",1
"217395_at",1
"220138_at",1
"202108_at",1
"214024_s_at",1
"218338_at",1
"219577_s_at",1
"208338_at",1
"203416_at",1
"203444_s_at",1
"218463_s_at",1
"217786_at",1
"215071_s_at",1
"211560_s_at",1
"208514_at",1
"206629_at",1
"203660_s_at",1
"209477_at",1
"205237_at",1
"218632_at",1
"207694_at",1
"210333_at",1
"208018_s_at",1
"218679_s_at",1
"200924_s_at",1
"208291_s_at",1
"220427_at",1
"206522_at",1
"206773_at",1
"218336_at",1
"221355_at",1
"205674_x_at",1
"207644_at",1
"210280_at",1
"201708_s_at",2
"201709_s_at",2
"202012_s_at",2
"202013_s_at",2
"209077_at",3
"209078_s_at",3
"1316_at",3
"204100_at",3
"214883_at",3
"35846_at",3
"208668_x_at",3
"220690_s_at",3
"205829_at",3
"201415_at",4
"211630_s_at",4
"207769_s_at",5
"210499_s_at",5
"214527_s_at",5
"202093_s_at",5
"209381_x_at",5
"37462_i_at",5
"204559_s_at",5
"202459_s_at",5
"202460_s_at",5
"212836_at",5
"208620_at",5
"202586_at",5
"211730_s_at",5
"201638_s_at",5
"218110_at",5
"204031_s_at",5
"213263_s_at",5
"213264_at",5
"213517_at",5
"221021_s_at",5
"209449_at",5
"202354_s_at",5
"202355_s_at",5
"202356_s_at",5
"215535_s_at",5
"32836_at",5
"201935_s_at",5
"201936_s_at",5
"208149_x_at",5
"208159_x_at",5
"210206_s_at",5
"205873_at",6
"213889_at",6
"205312_at",7
"219191_s_at",7
"208574_at",7
"203828_s_at",7
"207954_at",7
"209710_at",7
"210358_x_at",7
"207179_at",7
"204174_at",7
"206453_s_at",7
"214278_s_at",7
"214279_s_at",7
"220225_at",8
"220182_at",8
"201693_s_at",9
"201694_s_at",9
"210313_at",9
"202621_at",9
"200028_s_at",9
"204910_s_at",9
"204911_s_at",9
"213884_s_at",9
"213885_at",9
"201786_s_at",9
"217502_at",9
