"ACP5"	"CLCN7"	0.332
"ACP5"	"NES"	0.181
"ACP5"	"CD207"	0.284
"COMP"	"NES"	0.035
"COMP"	"NDP"	0.707
"HRK"	"BBC3"	0.962
"SIX3"	"ENTPD2"	0.117
"TNFRSF13B"	"TNFSF13"	0.035
"POLD3"	"POLR2L"	0.658
"ASB6"	"ANAPC2"	0.925
"ANXA5"	"BBC3"	0.171
"RPS9"	"GSPT2"	0.292
"DCXR"	"NES"	0.332
"SNCB"	"ALAS2"	0.238
"ANAPC2"	"PCGF6"	0.68
"POLR2L"	"ENTPD2"	0.117
"LCE3B"	"S100A8"	0.198
"NES"	"NDP"	0.012
"S100A8"	"FCN1"	0.562
