"node","cluster"
"RPL4",1
"RPS9",1
"RRM2",1
"RPS2",1
"PCBP2",1
"RPLP2",1
"RPL7",1
"RPLP0",1
"RPL11",1
"PCBP1",1
"RPL14",1
"RPL30",1
"RPL8",1
"RPL18",1
"RPL35",1
"RPL13A",1
"RPS23",1
"RPL15",1
"RPL37A",1
"EEF2",1
"NPM1",1
"RPL10",1
"RPL27A",1
"RPL32",1
"RPL36AL",1
"EIF5A",1
"PSMC4",1
"PSMA4",1
"PSMA7",1
"MARS",1
"PSMB4",1
"RPL37",1
"MYBBP1A",1
"POLR2L",1
"RPN1",1
"PPIB",1
"CSNK2B",1
"PRMT5",1
"DDOST",1
"ARF1",1
"SEC61A1",1
"NONO",1
"TUBB",1
"PGK1",1
"GNB1",1
"TIMM13",2
"NDUFB7",2
"NDUFB11",2
"NDUFB10",2
"COX7C",2
"UQCRQ",2
"COX5A",2
"UQCRC2",2
"NDUFV1",2
"NDUFA3",2
"NDUFS7",2
"MRPS24",2
"MRPL17",2
"MRPS12",2
"MDH2",2
"CLPP",2
"SDHC",2
"COX7A2L",2
"TIMM8A",2
"MRPL16",2
"IDH2",2
"ECHS1",2
"TXN2",2
"HDAC3",3
"AKT1",3
"STAT3",3
"IRF3",3
"EGR1",3
"FOXM1",3
"NUDC",4
"CDC25A",4
"WDTC1",4
"DDA1",4
"MUS81",5
"CPSF1",5
"SIN3B",5
"XAB2",5
"SF3A2",5
"LSM2",5
"PLK1",6
"INCENP",6
"DDX11",6
"KIFC1",6
"POLD3",6
"PKMYT1",6
"CKS1B",7
"GTF2H4",7
"POLR2J2",7
"ZBED1",7
"GTF2F1",7
"GNB2",8
"RAB5C",8
"VPS28",8
"MYL6",8
"RAB11B",8
"CSK",9
"GNAI2",9
"DYNC1H1",9
"FLII",9
"PPAN",10
"FTSJ3",10
"CTNNBL1",10
"CRK",11
"HSPB1",11
"HLA-DRB1",12
"HLA-DRA",12
"HLA-DMA",12
"HLA-DQA2",12
"HLA-G",12
"HRAS",13
"FRS3",13
"SOS1",13
"GSPT2",14
"UBE2R2",14
"ACTN4",15
"MSN",15
"ARPC1B",15
"SP1",16
"SMARCD3",16
"NR5A1",16
"THOC2",16
"ARHGAP17",17
"ARHGEF16",17
"RHOBTB1",17
"RHOT2",17
"RHOG",17
"ARHGAP9",17
"FGD3",17
"MTA1",18
"SUDS3",18
"SAP30",18
"HCFC1",18
"MTA2",18
"LAMP1",19
"CD63",19
"IGF2R",19
"VAMP8",19
"ECE1",19
"SURF4",20
"ENTPD4",20
"POR",20
"TPM2",21
"TNNI1",21
"TNNT3",21
"TCAP",21
"MYL3",21
"MYL2",21
"TNNI2",21
"EXOSC5",22
"EXOSC3",22
"EXOSC7",22
"MPHOSPH6",22
"KHSRP",22
"EIF4A2",23
"EIF4G3",23
"ASNA1",24
"EEF1G",24
"GABARAP",25
"TBC1D2B",25
"RAB5B",26
"SERINC2",26
"HINT1",27
"DNAJC9",27
"DPH5",27
"HCK",28
"PSTPIP1",28
"ANAPC2",29
"PDCL3",29
"PIAS1",30
"MSX1",30
"NFKB2",31
"NFKBIB",31
"CXCR4",32
"NPW",32
"ADCY1",32
"NPY",32
"RIPK1",33
"IRF7",33
"UBE2V1",33
"STAT5A",34
"PIAS3",34
"GEMIN4",34
"AP2A1",35
"ARRB2",35
"VWF",36
"VEGFB",36
"SPARC",36
"PF4",36
"TMSB4X",36
"CAMK2A",37
"SYNGAP1",37
"CD79A",38
"TNFRSF13B",38
"CD22",38
"TUBB2B",39
"TUBGCP2",39
"USP11",40
"CSNK1E",40
"BAD",41
"BID",41
"MCL1",41
"HRK",41
"BBC3",41
"SPI1",42
"GATA2",42
"CEBPA",42
"ZFPM1",42
"IRF2",43
"IFI30",43
"RELB",44
"DAXX",44
"ILKAP",45
"STK11",45
"PLP2",46
"TBXAS1",46
"ALOX5AP",46
"USP22",47
"RBM10",47
"BAZ1B",47
"GSS",48
"CNDP2",48
"SCLY",48
"OR5A2",49
"OR6N1",49
"OR4C46",49
"OR1M1",49
"HBE1",50
"HBD",50
"HBZ",50
"HBQ1",50
"ACTA1",51
"ACTA2",51
"ITGA2B",52
"ITGB4",52
"PYCR2",53
"HARS2",53
"ARPC5",54
"ARPC4",54
"P2RY11",55
"PRMT8",55
"SPN",56
"SIGLEC1",56
"UGP2",57
"HK3",57
"MRPL21",58
"MRPL52",58
"ALAS2",59
"SARDH",59
"PIP5K1C",60
"PLCB2",60
"PLCB3",60
"FOXH1",61
"ALX4",61
"POU3F4",62
"POU3F1",62
"FADS2",63
"LSS",63
"RGS2",64
"COMT",64
"SCTR",65
"DCXR",65
"ABCA7",-1
"ACAD9",-1
"ACHE",-1
"ACP5",-1
"ADAM15",-1
"ADAMTS13",-1
"ADAR",-1
"ADM2",-1
"AGPAT1",-1
"ALKBH7",-1
"AMBP",-1
"ANP32E",-1
"ANXA11",-1
"ANXA5",-1
"APEX2",-1
"APLP1",-1
"ARFRP1",-1
"ARR3",-1
"ASIP",-1
"ASL",-1
"ATP6AP1",-1
"ATP6V1F",-1
"ATXN7L3",-1
"BATF",-1
"BCL3",-1
"BET1L",-1
"BIN2",-1
"BRI3",-1
"BRSK1",-1
"BST2",-1
"C8G",-1
"CAB39",-1
