"node","cluster"
"AKT1",1
"WDTC1",1
"FOXM1",1
"HRAS",1
"CDC25A",1
"STK11",1
"STAT3",1
"EIF4EBP1",1
"ANXA5",1
"PI3",1
"NPM1",1
"TNF",1
"STAT5A",1
"MCL1",1
"EEF1G",2
"SDSL",2
"RPL27A",2
"RPL35",2
"RPL11",2
"RPL8",2
"RPL36AL",2
"RPL18",2
"RPS23",2
"RPL32",2
"RPL15",2
"RPL10",2
"RPS9",2
"RPL7",2
"RPS2",2
"RPL4",2
"RPL30",2
"RPL37A",2
"RPLP2",2
"RPLP0",2
"RPL13A",2
"RPL14",2
"EEF2",2
"RPL37",2
"RPS21",2
"RPL41",2
"SEC61A1",2
"DDOST",2
"RPN1",2
"SMG6",2
"MRPL16",2
"EIF5A",2
"EIF4A2",2
"GSPT2",2
"MRPS12",2
"EXOSC3",2
"EXOSC5",2
"MPHOSPH6",2
"EXOSC7",2
"GNB1",3
"PLCB2",3
"GNB2",3
"GNAI2",3
"PIK3R5",3
"PLCB3",3
"FFAR2",3
"UTS2R",3
"P2RY11",3
"PROK2",3
"ADCY1",3
"NPY",3
"NPW",3
"CXCR4",3
"ACTA1",4
"ACTN4",4
"TMSB4X",4
"SPARC",4
"PF4",4
"VWF",4
"VEGFB",4
"ACTA2",4
"PLK1",5
"RRM2",5
"PKMYT1",5
"CKS1B",5
"DNAJC9",5
"MYT1",5
"HDAC3",6
"IRF3",6
"TRIM3",6
"IRF7",6
"IRF2",6
"IFI30",6
"TRIM22",6
"HLA-G",6
"HLA-DQA2",6
"HLA-DRB1",6
"HLA-DRA",6
"IFIT2",6
"BST2",6
"EGR1",6
"IFITM1",6
"SH3GL1",7
"ARRB2",7
"RAB5B",7
"RAB5C",7
"VAMP8",7
"IGF2R",7
"TGOLN2",7
"AP2A1",7
"DNM2",7
"ARPC5",7
"ARPC4",7
"SYT8",7
"ARF1",7
"PPP3CC",8
"PIM2",8
"SOCS1",8
"ANAPC2",8
"UBE2R2",8
"RNF130",8
"DTX3L",8
"MIB2",8
"ASB2",8
"UBE2V1",8
"HECTD3",8
"HIST1H2AC",9
"HOXC4",9
"POLR2L",9
"TAF1C",9
"MYBBP1A",9
"BAZ1B",9
"DYNC1H1",10
"DNAH11",10
"DYNC1LI1",10
"TUBB2B",10
"KIFC1",10
"KIF25",10
"TUBB",10
"TUBGCP2",10
"PCNT",10
"CSNK1E",10
"ITGA2B",11
"SLAMF1",11
"PSMA7",11
"THPO",11
