"node","cluster"
"AKT1",1
"WDTC1",1
"STK11",1
"HRAS",1
"VWF",1
"GP9",1
"ITGA2B",1
"TNF",1
"PF4",1
"ANXA5",1
"IL13",1
"FAU",2
"RPS2",2
"RPL15",2
"RPL14",2
"RPL30",2
"RPL27A",2
"RPS23",2
"RPL4",2
"RPL37A",2
"RPLP0",2
"RPL36AL",2
"RPL7",2
"RPL10",2
"RPS9",2
"RPS21",2
"MRPS12",2
"RPL11",2
"EEF2",2
"RPL35",2
"RPL13A",2
"RPL8",2
"RPL18",2
"RPL37",2
"RPL32",2
"RPL41",2
"RPLP2",2
"MRPL16",2
"GSPT2",2
"MPHOSPH6",2
"EIF5A",2
"EIF4A2",2
"RPN1",2
"EXOSC7",2
"EXOSC3",2
"EEF1G",2
"SMG6",2
"STAT3",3
"DIRAS3",3
"IL32",3
"SPI1",3
"GATA2",3
"PLK1",4
"ANAPC2",4
"MIB2",4
"HECTD3",4
"UBE2R2",4
"UBE2V1",4
"ASB2",4
"DTX3L",4
"SOCS1",4
"RNF130",4
"ACTA1",5
"TNNI1",5
"MYL2",5
"TNNT3",5
"TNNT2",5
"TNNI2",5
"TPM2",5
"MYL6",5
"TCAP",5
"MYL3",5
"SH3GL1",6
"TGOLN2",6
"ARRB2",6
"ARPC4",6
"ARPC5",6
"AP2A1",6
"VAMP8",6
"DNM2",6
"RAB5B",6
"RAB5C",6
"IGF2R",6
"SYT8",6
"ARF1",6
"HDAC3",7
"SIN3B",7
"SAP30",7
"SUDS3",7
"MTA2",7
"HINT1",7
"GNB2",8
"GNB1",8
"NPW",8
"GNAI2",8
"CXCR4",8
"NPY",8
"CORT",8
"FFAR2",8
"SP1",9
"EGR1",9
"SRF",9
"ACTA2",9
"MYOG",9
"MEF2D",9
"DYNC1H1",10
"PCNT",10
"DYNC1LI1",10
"TUBB",10
"TUBGCP2",10
"CSNK1E",10
"TUBB2B",10
"DNAH11",10
"XAB2",11
"SF3A2",11
"LSM7",11
"LSM2",11
"PCBP2",11
"PCBP1",11
"CPSF1",11
"CTNNBL1",11
"GTF2F1",11
"PQBP1",11
"POLR2L",11
"PPP3CC",12
"PPP2R5A",12
"INCENP",12
"NUDC",12
"CENPH",12
"RANGAP1",12
"IRF3",13
"IFITM1",13
"IRF7",13
"IRF2",13
"TRIM22",13
"IFIT2",13
"BST2",13
"HLA-G",13
"ADAR",13
"CD79A",14
"AMBP",14
"TH",15
"HBD",15
"HBE1",15
"HBQ1",15
