"node","cluster"
"AKT1",1
"GYS1",1
"UGP2",1
"TNF",2
"SERPINB5",2
"IL13",2
"RPS2",3
"RPL4",3
"RPL37",3
"RPL27A",3
"RPLP2",3
"RPL37A",3
"RPL8",3
"RPL18",3
"RPL15",3
"RPL41",3
"RPL32",3
"RPL35",3
"RPS23",3
"RPS21",3
"RPL14",3
"RPL13A",3
"RPLP0",3
"RPL7",3
"RPS9",3
"RPL10",3
"RPL30",3
"GSPT2",3
"RPL11",3
"MRPS12",3
"EEF2",3
"EIF4A2",3
"MRPL16",3
"SMG6",3
"EXOSC7",3
"EXOSC3",3
"EXOSC5",3
"SEC61A1",3
"EEF1G",3
"HRAS",4
"PLK1",4
"NPM1",4
"FOXM1",4
"CDC25A",4
"STAT3",5
"KPNA6",5
"GNB1",6
"OR4C46",6
"OR1M1",6
"ARRB2",6
"ACTA1",7
"TPM2",7
"TNNT3",7
"MYL3",7
"TNNT2",7
"TNNI2",7
"TNNI1",7
"MYL2",7
"MYL6",7
"TCAP",7
"HDAC3",8
"HIST1H2AA",8
"MTA2",8
"SUDS3",8
"HIST1H2AC",8
"SAP30",8
"SIN3B",8
"HINT1",8
"GNB2",9
"GNAI2",9
"CORT",9
"GRM4",9
"NPW",9
"ADCY1",9
"NPY",9
"POLR2L",10
"GTF2F1",10
"GTF2H4",10
"XAB2",10
"SF3A2",10
"PCBP1",10
"LSM7",10
"LSM2",10
"CPSF1",10
"PCBP2",10
"PQBP1",10
"CTNNBL1",10
"EGR1",11
"LHX2",11
"HLA-DRB1",12
"HLA-DQA2",12
"HLA-DRA",12
"IFI30",12
"HLA-G",12
"IRF2",12
"TRIM22",12
"IRF7",12
"IRF3",12
"IFITM1",12
"BST2",12
"VAV1",13
"SOS1",13
"LAT",13
"CRK",13
"HCK",13
"NDUFV1",14
"NDUFB11",14
"NDUFB7",14
"NDUFB10",14
"NDUFA3",14
"NDUFS7",14
"ACAD9",14
"UQCRC2",14
"COX5A",14
"UQCRQ",14
"SDHC",14
"DYNC1H1",15
"DYNC1LI1",15
"PCNT",15
"TUBB",15
"TUBGCP2",15
"KIFC1",15
"TUBB2B",15
"VWF",16
"CD68",16
"CD79A",16
"CD7",16
"DNM2",17
"IGF2R",17
"ARPC5",17
"ARPC4",17
"AP2A1",17
"VAMP8",17
"RAB5B",17
"RAB5C",17
"SYT8",17
"ARF1",17
"SP1",18
"ACTA2",18
"SRF",18
"MCL1",19
"BID",19
"BBC3",19
"BAD",19
"HRK",19
"ACTN4",20
"TMSB4X",20
"SPARC",20
"VEGFB",20
"PF4",20
"FGF8",21
"WNT11",21
"TBX5",21
"WNT3",21
"ANAPC2",22
"HECTD3",22
"UBE2R2",22
"RNF130",22
"DTX3L",22
"MIB2",22
"ASB2",22
"UBE2V1",22
"SOCS1",22
"PPP3CC",23
"PPP1R1B",23
"PSMA7",24
"PSMA4",24
"PSMB4",24
"PSMC4",24
"PSME4",24
"OAZ2",24
"SPI1",25
"GATA2",25
"TAL1",25
"ZFPM1",25
"THPO",25
"GGT1",26
"CNDP2",26
"GSS",26
"GCLM",26
"RHOG",27
"OBSCN",27
"RHOBTB1",27
"RHOT2",27
"ARHGAP17",27
"FGD3",27
"TH",28
"PNMT",28
"DBH",28
"COMT",28
"CAB39",29
"LRG1",29
"IL7R",30
"CTF1",30
"IL6R",30
"CNTFR",30
"PLCB2",31
"PLCB3",31
"UTS2R",31
"P2RY11",31
"AMBP",32
"TYRO3",32
"ECHS1",33
"IDH2",33
"CAMK2A",34
"DLGAP1",34
"SYNGAP1",34
"STK11",35
"WDTC1",35
"RIPK1",36
"NTAN1",36
"CACNA1A",37
"CACNA1H",37
"PKMYT1",38
"CKS1B",38
"RRM2",38
"POM121",39
"NUP210",39
"THOC2",39
"THOC6",39
"MRPL21",40
"MRPL17",40
"MRPS24",40
"MRPL52",40
"KRTAP6-3",41
"KRTAP11-1",41
"KRTAP23-1",41
"KRTAP6-2",41
"KRTAP19-6",41
"HBD",42
"HBE1",42
"HBQ1",42
"HBZ",42
"COMP",43
"COL9A3",43
"SELL",44
"SPN",44
"MSN",44
"NFKB2",45
"RELB",45
"TRAF5",45
"KLC2",46
"KIF1A",46
"KIF25",46
"KCNE1",47
"KCNIP2",47
"PRMT5",48
"PRMT8",48
"HTR4",49
"SCTR",49
"GPR20",49
"ADM2",49
"FSHR",49
"FCN1",50
"CFP",50
"GEMIN7",51
"GEMIN4",51
"KHSRP",51
"EIF4EBP1",52
"EIF4G3",52
"LAMP1",53
"CD63",53
"MDH2",54
"GLUD2",54
"PIK3R5",55
"GP9",55
"GCAT",56
"SARDH",56
"CSNK2B",57
"CSNK1E",57
"GBX2",58
"SIX3",58
"PAX8",58
"TCF7",59
"BCL9L",59
"VTN",60
"C8G",60
"S100A8",61
"S100A12",61
"TAF1C",62
"BAZ1B",62
"MYBBP1A",62
"HCFC1",63
"FOXK1",63
"GABRD",64
"KCNK3",64
"ANP32E",65
"ZNHIT1",65
"CHDH",66
"PLA2G2F",66
"EXT2",67
"CHPF",67
"B3GAT3",67
"APEX2",68
"UNG",68
"ABCA7",0
"ACHE",0
"ACP5",0
"ADAM15",0
"ADAMTS13",0
"ADAMTS4",0
"ADAMTSL2",0
"ADAR",0
"AGPAT1",0
"ALAS2",0
"ALOX5AP",0
"ALX4",0
"ANXA11",0
"ANXA5",0
"APOL1",0
"APOL3",0
"AQP7",0
"ARFRP1",0
"ARHGAP9",0
"ARHGEF16",0
"ARPC1B",0
"ASIP",0
"ASL",0
"ASNA1",0
"ATP6AP1",0
"ATP6V1F",0
"ATXN7L3",0
"AZGP1",0
"BARHL1",0
"BATF",0
"BCL3",0
"BET1L",0
"BIN2",0
"BLOC1S3",0
"BRSK1",0
"CABP2",0
"CACNA2D4",0
"CALB2",0
"CALML5",0
"CAMKK2",0
"CATSPER3",0
"CD207",0
"CD22",0
