"node","cluster"
"AKT1",1
"WDTC1",1
"STK11",1
"HRAS",1
"TNF",1
"STAT3",1
"RPL4",2
"RPL27A",2
"RPL37",2
"RPLP2",2
"RPL37A",2
"RPL8",2
"RPL18",2
"RPL15",2
"RPL41",2
"RPL32",2
"RPL35",2
"RPS23",2
"RPS21",2
"RPS2",2
"RPL14",2
"RPL7",2
"RPS9",2
"RPLP0",2
"RPL13A",2
"GSPT2",2
"RPL30",2
"RPL10",2
"MRPS12",2
"EEF2",2
"RPL11",2
"EIF4A2",2
"MRPL16",2
"EEF1G",2
"SEC61A1",2
"EXOSC7",2
"EXOSC3",2
"EXOSC5",2
"GNB1",3
"OR4C46",3
"OR1M1",3
"ARRB2",3
"GNB2",4
"GNAI2",4
"CORT",4
"NPW",4
"GRM4",4
"NPY",4
"ADCY1",4
"PF4",4
"PLK1",5
"MYT1",5
"HDAC3",6
"HIST1H2AA",6
"MTA2",6
"HIST1H2AC",6
"SUDS3",6
"SAP30",6
"SIN3B",6
"HINT1",6
"ACTA1",7
"TPM2",7
"TNNT3",7
"TNNI1",7
"TNNI2",7
"MYL6",7
"TNNT2",7
"MYL3",7
"MYL2",7
"TCAP",7
"POLR2L",8
"GTF2F1",8
"GTF2H4",8
"XAB2",8
"POLD3",8
"CPSF1",8
"SF3A2",8
"PCBP1",8
"LSM7",8
"LSM2",8
"PCBP2",8
"CTNNBL1",8
"ITGA2B",9
"SOS1",9
"ACTN4",9
"EGR1",10
"LHX2",10
"HLA-DRB1",11
"HLA-DQA2",11
"HLA-DRA",11
"IFI30",11
"HLA-G",11
"TRIM22",11
"IRF2",11
"NDUFV1",12
"NDUFB11",12
"NDUFB7",12
"NDUFB10",12
"NDUFA3",12
"NDUFS7",12
"ACAD9",12
"VAV1",13
"CRK",13
"PIK3R5",13
"HCK",13
"SH3GL1",14
"NDP",14
"COMP",14
"ANAPC2",15
"HECTD3",15
"UBE2R2",15
"RNF130",15
"DTX3L",15
"ASB2",15
"MIB2",15
"UBE2V1",15
"FGF8",16
"GBX2",16
"PAX8",16
"SIX3",16
"SP1",17
"ACTA2",17
"SRF",17
"DYNC1H1",18
"TUBB",18
"PCNT",18
"DYNC1LI1",18
"RAB5C",19
"RAB5B",19
"IGF2R",19
"AP2A1",19
"DNM2",19
"STAT5A",20
"IL7R",20
"STAT4",20
"PSMA7",21
"PSMA4",21
"PSMB4",21
"PSME4",21
"PSMC4",21
"PPP2R5A",21
"NPM1",22
"NPM3",22
